id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
2873,5,2,0,55,10,4,1,0,1,3,4,3,3,24,0,1,0,0,0,0,45,128,55,0,5,1,0.132926706747654,0.4065709017891991,1,0,0,0,0,0.9312108822064972,0,1,0,1,1,1,1,0,-1,1,-1,-1,0,0,1
4612,3,1,3,130,3,4,1,0,2,0,2,2,0,42,0,1,1,1,1,0,50,112,26,0,2,1,0.309803758272837,0.6432382538755952,0,0,1,1,0,0.6651412170861877,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0
9975,2,5,3,161,1,0,0,1,2,4,9,1,0,47,1,1,1,0,0,0,16,20,50,0,5,1,0.4734569936753084,0.7118157816442856,1,0,0,1,1,0.0102129838990441,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0
4287,1,0,0,97,9,4,1,1,1,3,10,2,5,14,1,0,1,0,0,0,15,109,56,1,1,1,0.2504343877015847,0.1655597574027409,0,1,1,0,0,0.0270230349349603,1,1,0,1,1,1,0,0,-1,-1,0,1,-1,1,0
5863,3,3,5,87,9,2,1,0,0,5,4,2,5,9,0,1,1,1,0,0,26,141,78,0,1,0,0.946271872845242,0.0910617478733543,0,0,0,1,1,0.2470920736227827,1,0,0,1,1,1,1,1,0,-1,-1,0,-1,0,0
1401,2,3,4,178,2,1,0,1,1,1,7,0,1,13,0,0,0,1,0,0,13,86,16,1,4,0,0.4413380505709023,0.458217054542798,1,0,0,0,0,0.8727840048045109,1,0,0,0,0,0,0,1,1,1,0,0,-1,0,1
2806,1,1,1,97,5,3,1,1,1,4,1,3,2,21,0,0,0,1,1,0,11,94,93,1,1,0,0.579647367913831,0.0327181998222688,0,1,1,0,0,0.8672959514592032,0,1,0,0,0,1,1,1,0,-1,0,-1,1,-1,1
8638,0,0,1,185,8,2,1,0,4,0,10,5,2,7,0,1,0,0,0,0,37,72,70,1,0,1,0.3482030733637317,0.0196939266850803,1,1,0,1,1,0.3189613048529843,1,0,0,0,0,0,1,1,1,-1,0,1,1,-1,0
9629,0,0,5,160,0,2,0,1,0,4,5,0,1,8,1,0,1,0,0,0,10,145,91,1,2,0,0.7041451468332682,0.1944036300382671,0,1,0,0,1,0.7918411862984466,0,1,1,1,1,1,1,0,0,1,-1,0,0,0,1
6115,1,3,1,68,10,4,1,1,3,0,2,0,3,38,1,0,1,0,0,0,26,46,55,1,2,0,0.1595125274613443,0.0153519707007065,0,1,1,0,1,0.258349757716002,0,0,1,0,1,1,0,1,1,-1,0,-1,0,-1,0
1282,4,4,0,124,1,5,1,0,1,5,6,2,1,35,1,0,0,1,1,0,43,127,67,1,3,0,0.9368711701497376,0.0803058695149919,1,0,1,0,0,0.6656970111768256,1,1,1,0,1,0,0,0,0,1,0,1,-1,-1,0
4932,2,3,3,195,9,3,1,0,2,1,6,4,4,35,0,1,1,0,1,0,25,94,47,1,5,0,0.5503380429281496,0.8189455304520085,0,1,0,1,1,0.5330103547083286,1,0,1,1,0,0,1,0,-1,0,-1,0,0,-1,1
797,3,3,4,194,6,4,1,0,4,5,7,0,3,46,1,0,1,0,0,0,12,119,88,1,2,0,0.6748585889249732,0.5695131709551405,1,1,0,0,0,0.5679479836083062,0,0,0,0,1,1,0,0,1,0,-1,1,1,0,0
9838,4,4,3,192,2,2,0,0,3,3,10,0,4,2,1,1,1,0,0,0,10,107,18,0,1,1,0.4445284452236498,0.7896015116539132,0,0,0,1,0,0.8212297588762445,1,0,1,1,1,1,0,0,0,1,1,0,0,-1,0
5623,1,2,5,28,0,4,1,0,3,0,2,0,1,7,0,0,1,1,0,0,46,144,10,1,0,0,0.0190443272410274,0.9636007586288684,0,1,1,0,0,0.0957544048072303,0,0,0,1,0,1,0,1,-1,1,0,1,-1,0,0
702,0,0,3,191,6,2,1,0,5,2,6,2,5,47,1,1,0,1,1,0,39,111,5,1,1,0,0.6326747436284682,0.2181738070324165,0,1,0,0,1,0.9253818784433412,1,0,1,0,1,0,0,1,0,-1,-1,0,1,1,0
5074,1,3,3,102,6,1,1,1,2,2,0,3,2,48,1,0,0,0,1,0,10,64,99,0,5,0,0.4078516433377727,0.532415725145977,1,0,0,0,1,0.5800326333344805,0,1,0,0,0,1,1,1,-1,-1,0,-1,0,-1,1
1008,5,5,4,48,4,4,0,0,2,0,2,5,1,3,1,1,1,0,0,0,49,15,53,1,3,0,0.3486768742794743,0.1702515425126342,0,1,0,1,0,0.9348330501935124,1,1,1,0,1,1,1,0,0,0,1,0,-1,1,1
463,3,2,1,94,0,3,1,1,1,1,5,1,4,1,1,1,1,0,0,0,43,144,9,1,1,0,0.0642777859440137,0.9888078507951455,0,1,1,1,0,0.8838857816935103,1,1,1,1,1,1,0,0,1,1,0,1,0,-1,1
8360,0,2,5,93,0,2,1,0,5,4,1,3,3,41,0,1,0,1,1,0,27,17,45,1,1,0,0.7924876454831054,0.3989804134426582,0,0,0,0,1,0.4293653149492598,0,0,1,0,0,0,0,0,-1,0,0,1,1,0,1
8344,3,1,5,23,10,4,0,1,4,4,6,1,1,21,1,1,1,0,1,0,36,133,46,1,1,0,0.8118489634877267,0.5534087229308431,0,0,1,0,1,0.0030781114340412,0,0,1,1,0,0,1,1,1,0,-1,-1,0,0,0
7604,1,1,2,145,5,4,1,1,5,0,6,3,5,29,0,1,0,1,1,0,38,41,44,0,1,1,0.4281827233776163,0.2626032135792435,1,1,1,1,1,0.6339178401024654,1,0,1,0,0,0,1,1,-1,0,0,0,-1,1,1
5850,5,0,5,140,5,1,0,0,2,3,8,4,3,9,0,0,0,1,1,0,36,8,4,1,1,1,0.8769675800093475,0.1696289058427198,1,0,0,1,0,0.1259805664047276,0,1,0,1,1,0,0,0,1,-1,0,0,-1,1,1
4598,3,1,2,158,9,0,0,1,1,0,9,2,4,22,0,1,1,1,0,0,42,17,99,0,1,0,0.756834910852898,0.3520247976944619,1,0,0,1,1,0.0224403602932752,1,1,0,0,1,1,1,1,-1,1,1,1,0,0,1
1803,1,2,2,182,0,1,0,1,1,1,0,1,5,8,0,1,0,0,1,0,27,148,8,0,4,1,0.8884347883482229,0.5212233941194631,0,1,1,0,1,0.8226307028478202,1,0,0,1,1,0,0,1,0,1,0,-1,-1,1,1
964,5,2,4,64,8,3,1,1,3,0,7,3,1,35,0,1,0,1,1,0,25,148,86,0,4,1,0.3386063204023639,0.2032724185937958,1,0,1,0,1,0.3494355845054244,0,0,0,0,1,0,0,1,-1,-1,-1,0,-1,0,1
6883,0,0,4,167,10,4,0,0,2,1,2,4,4,32,0,0,1,1,0,0,10,68,11,0,2,1,0.6786322342235297,0.0160264993316029,1,1,0,0,1,0.84196184527815,0,0,0,1,1,0,0,0,0,-1,-1,-1,0,0,1
6329,5,4,5,61,1,3,1,1,5,4,5,3,1,14,1,0,0,0,1,0,49,95,91,0,4,1,0.9633851765410348,0.7567668832402987,1,0,0,0,1,0.2477897799106222,0,1,0,0,0,1,0,0,0,0,-1,-1,1,1,0
6834,5,4,5,75,9,4,1,0,1,5,2,4,4,10,0,0,1,0,1,0,37,45,23,1,2,1,0.3882405048113425,0.4077627140049384,0,1,1,0,1,0.1774486005731775,0,0,0,0,0,0,0,1,-1,-1,0,-1,1,1,1
4528,3,5,4,125,10,4,1,1,2,1,3,5,3,35,1,1,1,1,0,0,31,8,67,0,5,0,0.0272356166090036,0.6001880271787491,0,0,1,1,1,0.4198579800875465,0,0,0,0,1,0,0,0,1,-1,1,0,-1,-1,0
6223,1,1,0,44,2,3,1,1,4,5,3,5,0,19,0,0,1,1,1,0,29,91,28,1,0,1,0.7125890351762652,0.0533038512512455,0,1,1,0,0,0.201230849932721,1,0,1,1,1,0,1,0,1,0,0,1,-1,0,0
5432,1,2,4,172,2,5,0,1,4,3,1,2,5,11,0,1,0,0,1,0,23,106,4,1,2,1,0.182801208535751,0.0488882051584181,0,1,1,1,1,0.7702570504485611,0,0,0,0,1,1,1,0,0,1,0,-1,-1,0,1
3723,3,1,3,25,0,0,1,1,4,1,10,5,5,39,1,0,0,0,1,0,41,142,16,1,1,0,0.2098757947478432,0.8335439664637766,1,1,0,1,0,0.8181542734547154,1,0,1,1,0,0,1,0,1,1,-1,-1,0,-1,1
1638,2,0,4,193,5,4,0,0,2,4,0,5,3,38,1,0,1,1,1,0,35,19,44,1,0,0,0.0259583482655375,0.6252864680417511,0,1,1,0,0,0.2298738777287439,0,1,1,1,0,1,0,0,0,-1,-1,-1,0,-1,0
7157,0,5,3,101,10,4,0,1,4,5,5,3,1,7,0,0,0,0,0,0,39,19,28,1,2,0,0.7943661672234809,0.6325690495050408,1,1,0,1,1,0.5387856557080712,0,0,1,0,0,1,1,1,-1,1,1,0,1,0,1
9787,2,0,1,163,8,0,1,0,3,4,9,3,1,9,1,0,1,1,0,0,15,38,3,1,4,1,0.0354223802646309,0.1786554121283972,1,0,1,1,0,0.7457571691262177,0,0,0,0,1,1,1,1,1,-1,0,0,0,-1,0
1109,2,1,1,200,1,1,1,1,0,3,1,3,4,39,0,0,0,0,1,0,12,58,3,0,5,0,0.6372969139188248,0.6319903175266199,1,0,0,1,0,0.2232845494211863,0,1,0,0,1,1,0,1,-1,-1,0,1,-1,1,0
8957,0,0,5,139,4,2,0,1,0,4,3,4,4,0,0,1,1,0,0,0,17,101,77,0,1,0,0.5071701028579604,0.5771720295784155,0,0,0,1,1,0.9062910642407698,0,1,0,1,0,0,1,1,0,-1,0,0,0,1,0
373,5,4,5,39,0,5,0,0,1,2,0,4,5,5,0,1,1,1,0,0,19,136,49,0,1,0,0.6166876541572391,0.6371900070977968,0,1,0,1,1,0.4590472018163682,1,1,0,1,0,0,1,1,1,1,1,1,1,-1,1
5249,0,5,1,118,6,5,1,1,0,2,2,3,3,12,0,0,0,1,1,0,24,82,47,1,2,1,0.5551323180320554,0.3526483791412722,0,1,1,1,1,0.4448897226744656,0,1,1,1,1,1,0,1,0,-1,0,0,0,1,1
2672,3,3,1,63,1,1,1,1,1,3,10,0,2,37,1,0,1,0,0,0,49,78,52,0,2,0,0.5240605239474937,0.4695680649313934,0,0,1,0,1,0.6608321445787242,0,1,1,1,0,0,1,0,-1,-1,0,0,1,-1,0
1747,0,3,4,140,3,1,0,1,1,1,6,2,5,20,1,0,0,1,1,0,25,34,24,0,4,0,0.3038413518076793,0.7236042858126811,1,1,1,0,1,0.9731985286971224,1,0,1,1,0,1,1,0,1,-1,1,0,0,0,0
686,2,4,0,157,3,1,1,1,4,4,4,2,0,21,1,0,1,0,0,0,20,36,81,1,3,1,0.8566298259954439,0.1565303393291726,0,0,0,0,1,0.8236072469688321,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0
2222,3,3,4,199,3,3,0,0,4,1,2,2,0,20,1,1,0,1,1,0,25,24,68,0,4,0,0.7179192231497459,0.4297492782945624,1,1,1,0,0,0.609002180364688,1,1,0,0,1,0,1,0,1,1,0,0,-1,0,1
1950,3,5,3,167,4,4,1,0,5,5,0,5,2,31,1,0,0,1,1,0,48,84,40,0,3,1,0.3679551526194297,0.7809271631721469,0,1,1,0,0,0.2583459815206446,1,0,1,1,0,0,0,0,-1,0,0,0,1,1,0
398,2,3,5,110,4,0,0,0,3,4,10,4,1,44,1,0,0,0,1,0,20,0,5,0,4,0,0.65907615381498,0.370545504225607,0,1,0,0,1,0.3294798395479771,1,1,1,1,1,1,1,0,1,-1,0,-1,1,1,0
1269,4,1,3,31,2,0,0,0,3,1,8,5,0,32,0,1,0,1,0,0,15,61,11,0,0,0,0.3714643038389269,0.9760841682794928,0,0,1,1,0,0.5593060728950952,1,1,1,0,1,1,0,1,1,-1,0,0,-1,0,0
5333,4,5,1,155,8,5,1,0,4,0,6,4,1,35,1,1,0,0,0,0,47,39,15,1,5,1,0.7344592878741415,0.7205779295147282,1,1,1,0,0,0.7414431326135228,0,1,1,0,0,0,1,1,1,1,0,1,-1,-1,0
5611,3,0,0,30,3,5,1,0,4,5,5,4,3,22,0,1,0,1,0,0,16,56,5,1,3,0,0.9307859831186052,0.9011254568684364,1,0,0,0,1,0.2531737143177651,1,1,0,1,0,0,1,1,0,-1,0,0,1,-1,1
2438,2,3,1,154,5,4,0,1,0,0,5,3,1,18,0,0,1,0,1,0,37,86,9,1,4,0,0.4129216980939124,0.6838787485213131,1,1,1,1,1,0.2981399878477513,0,1,0,1,1,0,0,1,1,0,0,1,-1,0,0
4267,5,3,3,151,4,4,0,1,2,5,7,2,2,13,1,1,1,1,1,0,43,136,25,0,3,0,0.2708803406404348,0.647296570644854,0,1,1,0,1,0.8946063648618886,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
878,2,2,4,198,8,5,1,0,1,3,7,0,0,12,0,0,1,0,1,0,25,134,18,1,1,1,0.2170664003165049,0.7438556503179484,0,0,0,1,0,0.776573055086961,0,0,0,0,1,1,1,1,-1,1,1,-1,1,-1,0
784,0,1,5,33,6,4,1,0,3,4,6,1,2,5,1,1,1,0,0,0,49,112,34,1,0,1,0.3602568710757046,0.9519735971842378,1,0,1,0,0,0.3692345768682062,1,1,1,1,1,1,0,1,-1,0,0,0,0,-1,1
604,1,2,4,162,7,5,0,0,0,3,9,4,1,42,1,1,1,1,0,0,13,47,47,1,1,0,0.9571740399640928,0.1949576091554928,1,1,1,1,1,0.1707074594600717,1,0,1,0,0,0,0,0,1,0,1,0,-1,0,1
1163,3,5,0,119,2,3,1,0,3,2,3,4,0,25,0,1,1,1,0,0,44,5,51,0,4,1,0.8386222707605467,0.6936942935292653,0,1,1,1,1,0.5998485340663547,0,0,1,1,0,0,1,0,0,0,0,0,-1,1,0
7078,3,5,0,96,8,5,1,1,3,3,4,1,5,10,1,1,0,1,0,0,23,110,5,1,0,1,0.6381805293906133,0.6090095677057098,1,0,1,0,1,0.1550093377516158,0,0,0,0,1,1,0,0,1,0,1,-1,0,-1,1
