id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
2873,5,2,0,55,10,4,1,0,1,3,4,3,3,24,0,1,0,0,0,0,45,128,55,0,5,1,0.13292670674765406,0.4065709017891991,1,0,0,0,0,0.9312108822064973,0,1,0,1,1,1,1,0,-1,1,-0.7756753029494592,-1,0,0.2759986531961718,1
4612,3,1,3,130,3,4,1,0,2,0,2,2,0,42,0,1,1,1,1,0,50,112,26,0,2,1,0.309803758272837,0.6432382538755952,0,0,1,1,0,0.6651412170861877,0,0,0,0,0,0,0,1,0,0,-0.7650771560644152,0,0,-0.7158315871554524,0
9975,2,5,3,161,1,0,0,1,2,4,9,1,0,47,1,1,1,0,0,0,16,20,50,0,5,1,0.47345699367530847,0.7118157816442856,1,0,0,1,1,0.010212983899044126,1,0,0,0,0,1,1,0,1,1,0.5514800419027162,0,0,-0.3760441042839835,0
4287,1,0,0,97,9,4,1,1,1,3,10,2,5,14,1,0,1,0,0,0,15,109,56,1,1,1,0.25043438770158477,0.16555975740274098,0,1,1,0,0,0.027023034934960388,1,1,0,1,1,1,0,0,-1,-1,0.11015481519707637,1,-1,0.8120057079188421,0
5863,3,3,5,87,9,2,1,0,0,5,4,2,5,9,0,1,1,1,0,0,26,141,78,0,1,0,0.946271872845242,0.0910617478733543,0,0,0,1,1,0.24709207362278274,1,0,0,1,1,1,1,1,0,-1,-0.6143036710868943,0,-1,-0.14570807615361447,0
1401,2,3,4,178,2,1,0,1,1,1,7,0,1,13,0,0,0,1,0,0,13,86,16,1,4,0,0.44133805057090236,0.45821705454279804,1,0,0,0,0,0.8727840048045109,1,0,0,0,0,0,0,1,1,1,0.04024855372455094,0,-1,-0.23752864546514996,1
2806,1,1,1,97,5,3,1,1,1,4,1,3,2,21,0,0,0,1,1,0,11,94,93,1,1,0,0.579647367913831,0.03271819982226887,0,1,1,0,0,0.8672959514592032,0,1,0,0,0,1,1,1,0,-1,-0.2363706452678096,-1,1,-0.972865848728508,1
8638,0,0,1,185,8,2,1,0,4,0,10,5,2,7,0,1,0,0,0,0,37,72,70,1,0,1,0.3482030733637317,0.0196939266850803,1,1,0,1,1,0.31896130485298435,1,0,0,0,0,0,1,1,1,-1,0.13592762854889484,1,1,-0.8500604268102763,0
9629,0,0,5,160,0,2,0,1,0,4,5,0,1,8,1,0,1,0,0,0,10,145,91,1,2,0,0.7041451468332682,0.1944036300382671,0,1,0,0,1,0.7918411862984466,0,1,1,1,1,1,1,0,0,1,-0.5078556531454734,0,0,0.027681642276598417,1
6115,1,3,1,68,10,4,1,1,3,0,2,0,3,38,1,0,1,0,0,0,26,46,55,1,2,0,0.15951252746134437,0.015351970700706596,0,1,1,0,1,0.258349757716002,0,0,1,0,1,1,0,1,1,-1,-0.0922666341172822,-1,0,-0.6035677407909343,0
1282,4,4,0,124,1,5,1,0,1,5,6,2,1,35,1,0,0,1,1,0,43,127,67,1,3,0,0.9368711701497376,0.08030586951499197,1,0,1,0,0,0.6656970111768256,1,1,1,0,1,0,0,0,0,1,-0.2933305615390902,1,-1,-0.7884130824694415,0
4932,2,3,3,195,9,3,1,0,2,1,6,4,4,35,0,1,1,0,1,0,25,94,47,1,5,0,0.5503380429281496,0.8189455304520085,0,1,0,1,1,0.5330103547083286,1,0,1,1,0,0,1,0,-1,0,-0.7332238433713776,0,0,-0.5932138496944808,1
797,3,3,4,194,6,4,1,0,4,5,7,0,3,46,1,0,1,0,0,0,12,119,88,1,2,0,0.6748585889249732,0.5695131709551405,1,1,0,0,0,0.5679479836083062,0,0,0,0,1,1,0,0,1,0,-0.5503970766446846,1,1,-0.24024752051243903,0
9838,4,4,3,192,2,2,0,0,3,3,10,0,4,2,1,1,1,0,0,0,10,107,18,0,1,1,0.44452844522364987,0.7896015116539132,0,0,0,1,0,0.8212297588762445,1,0,1,1,1,1,0,0,0,1,0.622025840564524,0,0,-0.7055437878308146,0
5623,1,2,5,28,0,4,1,0,3,0,2,0,1,7,0,0,1,1,0,0,46,144,10,1,0,0,0.019044327241027448,0.9636007586288683,0,1,1,0,0,0.0957544048072303,0,0,0,1,0,1,0,1,-1,1,0.026533355595328878,1,-1,-0.41659812449046174,0
702,0,0,3,191,6,2,1,0,5,2,6,2,5,47,1,1,0,1,1,0,39,111,5,1,1,0,0.6326747436284682,0.2181738070324165,0,1,0,0,1,0.9253818784433411,1,0,1,0,1,0,0,1,0,-1,-0.824091594081471,0,1,0.9203007340129785,0
5074,1,3,3,102,6,1,1,1,2,2,0,3,2,48,1,0,0,0,1,0,10,64,99,0,5,0,0.4078516433377727,0.532415725145977,1,0,0,0,1,0.5800326333344805,0,1,0,0,0,1,1,1,-1,-1,-0.05770891741011619,-1,0,-0.5080878972354013,1
